timestamp,time,time_elapsed,cpu_usage _%,cpu_temperature_C,clock_speed_GHz,cache_miss_rate_%,power_consumption_W
1/4/2025 0:00,12:00:00,0:00:00,61.72906261,52.2689764,2.123846516,2.099940177,88.79528243
1/4/2025 0:00,12:00:00,0:00:00,62.46510847,61.9609694,3.877969394,1.212591165,71.06553633
1/4/2025 0:00,12:01:00,0:01:00,33.07203388,66.50645628,3.936673964,1.504476357,94.90986322
1/4/2025 0:00,12:01:00,0:00:00,55.87573377,77.59627538,3.346622243,3.546675607,84.43034137
1/4/2025 0:00,12:02:00,0:01:00,46.06377754,41.82243403,2.356262876,4.645903776,38.45645871
1/4/2025 0:00,12:02:00,0:00:00,38.738676,62.36156407,4.220935587,10.82723971,107.6010864
1/4/2025 0:00,12:03:00,0:01:00,56.53126032,47.51969652,1.5746934,1.391030024,47.34756508
1/4/2025 0:00,12:03:00,0:00:00,64.06987045,112.7470971,4.495091314,5.227240013,60.4621623
1/4/2025 0:00,12:04:00,0:01:00,82.15234774,59.34168358,3.130772191,7.785931446,49.45387504
1/4/2025 0:00,12:04:00,0:00:00,38.21712909,64.64421467,2.647404256,17.85585807,57.04689249
1/4/2025 0:00,12:05:00,0:01:00,77.77600207,55.31858067,1.508639844,4.908710747,50.44163553
1/4/2025 0:00,12:06:00,0:01:00,33.25235831,51.15063318,1.82158224,1.17980404,65.76210724
1/4/2025 0:00,12:06:00,0:00:00,45.50159538,56.29912417,2.24016365,2.00234242,100.7139279
1/4/2025 0:00,12:07:00,0:01:00,39.1583289,40.33725905,4.023616484,5.179314569,78.25649137
1/4/2025 0:00,12:07:00,0:00:00,28.99231785,78.02044908,1.657867308,0.075466096,60.08851747
1/4/2025 0:00,12:08:00,0:01:00,23.2834631,62.14434954,3.317220449,0.121734663,75.68946138
1/4/2025 0:00,12:08:00,0:00:00,61.23422056,71.71190421,3.260410461,15.02331135,96.70187071
1/4/2025 0:00,12:09:00,0:01:00,45.99492346,47.70261488,2.323260158,5.628397437,46.37832498
1/4/2025 0:00,12:10:00,0:01:00,56.98024537,42.86044563,2.170272861,7.425515129,124.4602733
1/4/2025 0:00,12:10:00,0:00:00,68.05426297,64.46631532,1.596645388,0.172343406,104.4109355
1/4/2025 0:00,12:11:00,0:01:00,40.81049136,53.7157671,3.517442872,4.66204848,87.9345748
1/4/2025 0:00,12:11:00,0:00:00,45.30954148,61.65117297,3.114129031,2.266539318,81.66034404
1/4/2025 0:00,12:12:00,0:01:00,20.48774507,68.14638713,4.058715381,7.928581458,67.47610601
1/4/2025 0:00,12:13:00,0:01:00,72.6591233,64.63205682,2.357051626,8.838029698,71.93178175
1/4/2025 0:00,12:13:00,0:00:00,84.45419421,70.01698306,4.131477365,21.77582992,53.09024942
1/4/2025 0:00,12:14:00,0:01:00,0.791283558,55.07650819,1.97599218,3.813924174,130.5817821
1/4/2025 0:00,12:15:00,0:01:00,35.17489265,62.54773349,3.006043341,1.37198676,93.43627037
1/4/2025 0:00,12:15:00,0:00:00,73.65800979,66.25388006,3.20182731,1.232072854,55.71123438
1/4/2025 0:00,12:16:00,0:01:00,57.34638776,61.24433696,3.986139908,0.962350988,87.33109218
1/4/2025 0:00,12:17:00,0:01:00,23.17580376,30.02646782,2.207542457,1.984818972,92.12120366
1/4/2025 0:00,12:17:00,0:00:00,43.89381693,57.75008646,1.764771148,3.526679292,71.25391124
1/4/2025 0:00,12:18:00,0:01:00,50.10170792,65.5243681,2.398155345,0.977391249,73.09865285
1/4/2025 0:00,12:19:00,0:01:00,53.33632119,55.92561925,2.798519813,1.72472359,101.0183584
1/4/2025 0:00,12:19:00,0:00:00,44.37514187,72.08767941,2.918331283,0.504724983,109.8836835
1/4/2025 0:00,12:20:00,0:01:00,56.19111294,55.41521539,4.323284835,1.158432854,64.73177641
1/4/2025 0:00,12:21:00,0:01:00,30.14681969,57.43829325,4.200030756,7.632976695,67.29681316
1/4/2025 0:00,12:21:00,0:00:00,61.39566701,74.03973256,2.529476212,4.81271304,102.4401312
1/4/2025 0:00,12:22:00,0:01:00,53.70793313,44.82559635,3.423973048,4.101713663,64.64819624
1/4/2025 0:00,12:23:00,0:01:00,35.11513266,50.09087046,3.408178959,9.032058064,79.17517708
1/4/2025 0:00,12:24:00,0:01:00,56.54150436,54.29743615,2.067210851,2.459102435,75.66024495
1/4/2025 0:00,12:24:00,0:00:00,97.83746779,66.56964104,3.77621649,7.490118998,121.0568349
1/4/2025 0:00,12:25:00,0:01:00,63.63321303,58.74954454,4.069161734,5.880238831,77.97472115
1/4/2025 0:00,12:25:00,0:00:00,74.423315,58.9960123,3.175332822,8.411612665,96.65181813
1/4/2025 0:00,12:26:00,0:01:00,50.99183655,42.69687394,2.844432229,4.470046123,76.21119503
1/4/2025 0:00,12:26:00,0:00:00,22.01253908,47.79133361,2.082771449,1.013021681,62.7797447
1/4/2025 0:00,12:27:00,0:01:00,58.60155297,65.54011312,2.632904448,3.0952566,104.0182947
